Video Title,Comment,clean_Comment,Polarity,Subjectivity,Emotion,Sentiment
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Ada 2 tipe kualitas orang pintar dan cerdas
 1 cara berfikirnya luas 
2 cara berfikir yg sempit",Ada 2 tipe kualitas orang pintar dan cerdas cara berfikirnya luas 2 cara berfikir sempit,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Aidin aja,aidin aja,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Yg ga adil nya juga perangkat perangkat pemerintahan yang dibawah seperti camat, kades, rt harus di audit.. bacokok kabeh eta puguh loba na.. di banten loba jasa desa desa tertinggal.. padahal camat kadesna glamor laju rt na srua di stir ku eta... Nu benghar di data nu balangsak boro boro di data di tempo geh hente...","adil juga perangkat perangkat pemerintahan yang dibawah seperti camat, kades, rt harus di audit.. bacokok kabeh eta puguh loba na.. di banten loba jasa desa desa tertinggal.. padahal camat kadesna glamor laju rt na srua di stir ku eta... benghar di data balangsak boro boro di data di tempo geh hente...",0.4767,1.0,sadness,Positif
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Ga nyambung.....jawabannya pk.....percis jaka sambung bawa golok.....Airin tetap yang terbaik....,nyambung.....jawabannya pk.....percis jaka sambung bawa golok.....Airin tetap yang terbaik....,0.0,1.0,happy,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Visi misinya...02 .ceramah cocok untuk  khotbah ...AIRIN ADE PILIHAN RAKYAT BANTEN...,Visi misinya...02 .ceramah cocok untuk khotbah ...AIRIN ADE PILIHAN RAKYAT BANTEN...,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Pilih 02 ....ga Ah Rugi dong,pilih 02 .... ga ah rugi,0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Tetap Bu Airin,dah terbukti 2 priode bikin bgus maju tangsel","Tetap Airin,dah terbukti 2 priode bikin bgus maju tangsel",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Dukung Andra-Soni,dukung andra-soni,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Dukung Andra-Soni,dukung andra-soni,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin bukan yang lain,airin,0.0,1.0,sadness,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Baru 10 H Pak Prabowo menjabat, DPRD PAN terTangkap tangan KPK","Baru 10 Pak Prabowo menjabat, DPRD PAN terTangkap tangan KPK",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Pemikiran sempit, Pak Dm ini,,,,, jual pak prabowonya Di Bantah mentah"" @PRABOWO PUNYA RAKYAT Bukan PUNYA GERBONG.","pemikiran sempit , dm , , , , , jual prabowonya bantah mentah '' @ prabowo rakyat gerbong .",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Insyaallah saya dan keluarga pilih Airin.,insyaallah keluarga pilih airin .,0.0,1.0,happy,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","No 2 hy bisa jual pak prabowo, Gak Pede Dgn Dirinya Membangun Banten,,,, Pantes Pak prabowo beri mandat ke Bu airin sebelum jd president😊","2 hy bisa jual pak prabowo, Pede Dgn Dirinya Membangun Banten,,,, Pantes Pak prabowo beri mandat ke airin sebelum president😊",0.0,1.0,anger,Netral
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati","Lapangan kerja yg dibahas..masuk kerja di pabrik harus ada uang 20 jt Smpai 40 jt ,itu aja diurus tuh ,jngn bnyk janji ,hoak","Lapangan kerja dibahas..masuk kerja di pabrik harus ada uang 20 jt Smpai 40 jt ,itu aja diurus ,jngn bnyk janji ,hoak",0.4215,1.0,anger,Positif
"🔴LIVE - Debat Publik Kedua Pilgub Banten 2024, Airin-Ade vs Soni-Dimyati",Airin-ade  banten maju bersama.,Airin-ade banten maju bersama.,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Pemenangnya dia lgi ,dia lah bukan airin","pemenangnya lgi , airin",0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Coblos no 2 !. Tenggelamkan Kim plus,Coblos 2 !. Tenggelamkan Kim plus,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Dari pada ga ada mending bu airin aja lah. No 1 ayo maju. Untuk provinsi banten  yang lebih baik lagi,Dari pada ada mending airin aja lah. ayo maju. Untuk provinsi banten yang lebih baik lagi,0.0,1.0,happy,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Airin gubernur,airin gubernur,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Kabuten pandeglang wilayah tertinggal.,kabuten pandeglang wilayah tertinggal .,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Pqk dim yg di omongin aib dia semua,Pqk dim di omongin aib dia semua,0.0,1.0,happy,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Calon Wagub no 2 itu pernah korupsi 2 milyar dan kasus selingkuh dengan si Sinta.,Calon Wagub 2 itu pernah korupsi 2 milyar dan kasus selingkuh dengan si Sinta.,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Kami lebih percaya ke perempuan yg menjabat jdi gubernur Banten udah jelas kinerja nya,Kami lebih percaya ke perempuan menjabat jdi gubernur Banten udah jelas kinerja,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",AIRIN FOR BANTEN 1,AIRIN FOR BANTEN,0.0,1.0,happy,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Masyarakat BANTEN jangan tergiur dengan janji janji . 😩🥱,masyarakat banten tergiur janji janji . 😩🥱,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Dimyati monopoli dulu anda bupati dua periode sekarang istri anda bupati Pandeglang,dimyati monopoli bupati periode istri bupati pandeglang,0.0,1.0,happy,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Dimyati itu calon paling buruk, jamgan tertipu. Saya warga pandeglang sedih dan menyesalkan pandeglamg dipimpin dia dan istrinya selama 20tahun kami stuck bahkan mundur tapi kekayaannya malah makin bertambah pesat","dimyati calon buruk , jamgan tertipu . warga pandeglang sedih menyesalkan pandeglamg dipimpin istrinya 20tahun stuck mundur kekayaannya bertambah pesat",-0.25,1.0,sadness,Negatif
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Tidak ada pilihan kedua pasang ini Minus.. Smuanya rekam jejak Buruk..!!!,pilihan pasang minus .. smuanya rekam jejak buruk .. ! ! !,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Pamulang dukung airin ❤,pamulang dukung airin ❤,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Airin no Comment ⛔⛔,Airin Comment ⛔⛔,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Dimana mana pemimpin itu laki laki , imam itu laki laki bukan perempuan , jadi seharus nya lebih baik perempuan itu menjadi wakil , jangan sampe kaya Atut lagi korupsi ,","Dimana mana pemimpin itu laki laki , imam itu laki laki bukan perempuan , jadi seharus lebih baik perempuan itu menjadi wakil , jangan sampe kaya Atut lagi korupsi ,",0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Mantep no 1,Mantep,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Lah tetap k beh geh sarua bae,Lah tetap k beh geh sarua,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",br tau y😂😂😂,br tau y😂😂😂,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Dimyati mantan Bupati Pandeglang,,, udh gitu skrng Istrinya yg jadi Bupati,, Kemiskinan diderah² trpencil ttep aj meningkat...","Dimyati mantan Bupati Pandeglang,,, gitu skrng Istrinya jadi Bupati,, Kemiskinan diderah² trpencil ttep meningkat...",0.0,1.0,happy,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Bingung mau pilih siapa,bingung pilih,0.0,1.0,anger,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Pilih Ibu ku dong . 

Airin👍👍👍",Pilih Ibu ku dong . Airin👍👍👍,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Sy dari Tangerang Banten 
Dukung Airin",dari Tangerang Banten Dukung Airin,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",20 tahun Pandeglang yang mimpin keluarga DIA LAGI DIA LAGI 😆😀,20 pandeglang mimpin keluarga 😆😀,0.0,1.0,sadness,Netral
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Gubernur di kontrak kerjanye 5 thn   kenapa para buruh hanya  di kontrak kerja 1 thn  oleh perusaan ? Kan  Sebagian  buruh yg gaji gubernur ? Adil kah ini ? Kenapa kga disamakan aja kontrak kerjanya 5 thn  parah buruh pabrik biar adiiiiil doong ? Lalu siapa yg perjuangkan nasib para buruh ini.,Gubernur di kontrak kerjanye 5 thn kenapa para buruh hanya di kontrak kerja thn oleh perusaan ? Kan Sebagian buruh gaji gubernur ? Adil kah ini ? Kenapa kga disamakan aja kontrak kerjanya 5 thn parah buruh pabrik biar adiiiiil doong ? Lalu siapa perjuangkan nasib para buruh ini.,0.0,1.0,sadness,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,gunakan hak pilih dan joblos sesuai isi hatimu demi banten,hak pilih joblos sesuai isi hatimu banten,0.4404,1.0,anger,Positif
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"mudah²an banten maju terus... siapapun pemimpin nya masyarakat makmur, lapangan kerja dan pendidikan penting banget buat masa depan terutama buat generasi penerus bangsa... dan jgn ada persyaratan  bkn BPJS buat persyaratan SKCK dan denger² pajak juga klo byr harus ada SKCk... kasihan masyarakat mau cari kerja maksain bkn BPJS sekeluarga demi persyaratan kerja... tilong siapapun pemimpin nya🙏🏻","mudah²an banten maju terus... siapapun pemimpin masyarakat makmur, lapangan kerja dan pendidikan penting banget buat masa depan terutama buat generasi penerus bangsa... dan ada persyaratan bkn BPJS buat persyaratan SKCK dan denger² pajak juga byr harus ada SKCk... kasihan masyarakat mau cari kerja maksain bkn BPJS sekeluarga demi persyaratan kerja... tilong siapapun pemimpin nya🙏🏻",0.0,1.0,anger,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Tepat ngomong na ibu aing,ngomong na aing,0.0,1.0,sadness,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Udh di jwb itu brooo jgn mengcopy walah,di jwb itu brooo mengcopy walah,0.0,1.0,sadness,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Pinter banget jwbnya,pinter banget jwbnya,0.0,1.0,happy,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,01 menyala,menyala,0.0,1.0,sadness,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Tangerang aja maju pesat ditangan bu Arin, apalagi jadi gubernur majunya pasti merata, bu Airin dan pak ade yg harus kita pilih","Tangerang aja maju pesat ditangan Arin, apalagi jadi gubernur majunya pasti merata, Airin dan pak ade harus kita pilih",0.0,1.0,anger,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"PENDIDIKAN GRATIS SMA/SMK/MA/SKH Negeri dan Swasta... What.....????

1. Duit dari mana Bung ?  Sekarang aja, terseok Seok 
2. Gaji guru di swasta ?
3. Pendapatan Yayasan ?
4. Mutu pendidikan ??
5. Gaji TP dan TK di negeri saat ini ??? 😢

Hadeuhhhh CUMA OMDO","PENDIDIKAN GRATIS SMA/SMK/MA/SKH Negeri dan Swasta... What.....???? 1. Duit dari mana Bung ? Sekarang aja, terseok Seok 2. Gaji guru di swasta ? 3. Pendapatan Yayasan ? 4. Mutu pendidikan ?? 5. Gaji dan TK di negeri saat ini ??? 😢 Hadeuhhhh CUMA OMDO",0.2869,1.0,happy,Positif
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Jemput kemenangan 01,Jemput kemenangan,0.0,1.0,happy,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Pondok aren menyala...No 1 yes,Pondok aren menyala...No yes,0.128,0.9990000000000001,anger,Positif
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Saya PKS tapi Figur Dimyati tidak mewakili aspirasi Saya bahkan kacer2 yg lain, karena di Pandeglang kami mengalami diskriminasi Infrastruktur, pendidikan sosial dan Budaya. Sayang Andra Soni berpasangan dengan orang yg salah.","Saya PKS tapi Figur Dimyati tidak mewakili aspirasi Saya bahkan kacer2 lain, karena di Pandeglang kami mengalami diskriminasi Infrastruktur, pendidikan sosial dan Budaya. Sayang Andra Soni berpasangan dengan orang salah.",0.0,1.0,anger,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,01 menyala,menyala,0.0,1.0,sadness,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Jangan mudah tertipu pada janji dan tampilan saja, faktanya dilingkungan Ibu airin dan
keluarga penuh dengan rompi orange.","Jangan mudah tertipu pada janji dan tampilan saja, faktanya dilingkungan Ibu airin dan keluarga penuh dengan rompi orange.",0.0,1.0,sadness,Netral
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,no 2 bukannya mnyampaikan visi misi malah bercerita🤭😄😄,2 bukannya mnyampaikan visi misi malah bercerita🤭😄😄,0.0,1.0,sadness,Netral
